,Vmag,Plx,ePlx,BV,eBV,dist,Vabs
3267.0,6.95,20.99,0.66,0.579,0.009,47.6417341591,3.56006219291
3277.0,5.72,15.29,0.58,0.131,0.003,65.4022236756,1.64203742706
3330.0,5.38,24.59,0.51,0.515,0.003,40.6669377796,2.33379264369
3352.0,5.99,13.73,0.58,1.318,0.005,72.8332119446,1.67835268618
3369.0,6.63,24.48,0.91,0.529,0.004,40.8496732026,3.57405706737
3391.0,7.88,22.7,0.99,0.716,0.003,44.0528634361,4.66012928597
3405.0,4.36,13.57,0.57,0.024,0.015,73.6919675755,0.0228992382987
3414.0,4.95,18.71,0.73,0.17,0.005,53.447354356,1.3103689375
3418.0,8.73,48.16,1.04,1.13,0.015,20.7641196013,7.14343239125
3419.0,2.04,34.04,0.82,1.019,0.021,29.3772032902,-0.300052242937
3436.0,6.01,18.76,0.92,1.107,0.0,53.3049040512,2.37616417022
3470.0,8.28,15.37,0.66,0.571,0.015,65.0618087183,4.2133693375
3479.0,7.78,30.58,1.08,0.664,0.004,32.7011118378,5.20718740538
3497.0,6.55,45.76,0.56,0.655,0.006,21.8531468531,4.85243007892
3505.0,5.22,35.92,0.69,0.35,0.022,27.8396436526,2.99668163998
3509.0,6.9,21.8,0.62,0.492,0.008,45.871559633,3.59228246802
3521.0,5.94,15.01,0.71,0.297,0.005,66.6222518321,1.82190346122
3527.0,6.15,22.09,0.65,0.524,0.005,45.2693526483,2.87097857936
3533.0,7.19,26.87,0.63,0.76,0.01,37.2162262747,4.33633833217
3540.0,7.01,24.27,0.88,0.537,0.007,41.203131438,3.93534888166
3559.0,6.15,31.39,1.03,0.603,0.009,31.8572793883,3.6339565785
3572.0,5.64,11.24,0.55,0.078,0.004,88.9679715302,0.893831556165
3578.0,7.88,25.89,1.06,0.677,0.01,38.6249517188,4.94566025217
3583.0,5.8,66.92,0.73,0.635,0.003,14.94321578,4.92777966145
3587.0,7.54,23.1,0.78,0.545,0.009,43.29004329,4.35805989946
3588.0,7.89,62.41,1.6,1.251,0.011,16.0230732254,6.8662709129
3641.0,6.39,24.65,0.59,0.424,0.004,40.5679513185,3.34908461807
3693.0,4.08,17.98,0.83,1.1,0.004,55.617352614,0.353948436986
3704.0,7.85,19.99,0.94,0.539,0.008,50.0250125063,4.35406397059
3730.0,6.51,17.41,0.87,0.521,0.007,57.4382538771,2.71399385559
3765.0,5.74,134.04,0.86,0.89,0.008,7.46045956431,6.37617209582
3810.0,5.07,41.8,0.75,0.502,0.004,23.9234449761,3.17588140888
3813.0,10.76,46.32,2.06,1.426,0.015,21.5889464594,9.0888427536
3821.0,3.46,167.99,0.62,0.587,0.003,5.95273528186,4.58641715047
3829.0,12.37,226.95,5.35,0.554,0.003,4.40625688478,14.1496509354
3832.0,7.56,19.48,0.76,0.505,0.003,51.3347022587,4.00794476271
3850.0,7.15,53.09,1.02,0.769,0.009,18.8359389716,5.77506362671
3876.0,7.75,46.47,0.7,0.9,0.015,21.5192597375,6.08586336239
3879.0,9.5,35.95,1.22,1.157,0.009,27.8164116829,7.27849447359
3909.0,5.17,64.69,1.03,0.514,0.011,15.4583397743,4.2241857557
3911.0,7.94,16.94,0.61,0.522,0.01,59.0318772137,4.08456702997
3924.0,7.98,18.41,0.79,0.562,0.009,54.3183052689,4.30526894252
3949.0,5.24,13.06,0.59,0.356,0.002,76.5696784074,0.819715884695
3961.0,6.86,25.74,0.62,0.447,0.006,38.85003885,3.91304271284
3965.0,6.38,15.0,0.72,0.307,0.004,66.6666666667,2.26045629528
3979.0,6.98,45.27,0.97,0.663,0.005,22.0896841175,5.25905247248
3998.0,9.22,45.71,1.66,1.194,0.004,21.8770509735,7.52005610645
3999.0,7.14,19.09,0.92,0.593,0.004,52.3834468308,3.54402964197
4005.0,7.28,18.78,0.88,0.559,0.015,53.2481363152,3.64847793965
4012.0,10.66,54.23,2.12,1.363,0.015,18.439977872,9.33119802218
4022.0,8.95,65.81,1.44,1.29,0.022,15.1952590792,8.041459454
4041.0,8.45,24.87,0.82,0.78,0.015,40.2090872537,5.42837892635
4103.0,8.36,25.86,1.16,0.707,0.015,38.6697602475,5.42314260272
4127.0,6.76,23.82,0.87,0.595,0.007,41.9815281276,3.64470878573
4144.0,7.76,19.44,0.94,0.576,0.01,51.4403292181,4.20348130295
4148.0,7.15,71.01,0.78,0.936,0.006,14.0825235882,6.40659756324
4151.0,4.8,53.85,0.6,0.54,0.008,18.5701021356,3.45592853817
4283.0,5.59,13.3,0.57,0.105,0.003,75.1879699248,1.20925820484
4290.0,7.41,33.92,0.91,0.652,0.01,29.4811320755,5.06227921792
4291.0,6.68,20.41,0.58,0.987,0.002,48.9955903969,3.22921502358
4293.0,5.45,15.52,0.52,1.095,0.004,64.4329896907,1.40445858461
4393.0,7.53,24.39,0.87,0.667,0.007,41.0004100041,4.46605900157
4395.0,7.17,22.34,0.65,0.808,0.004,44.7627573859,3.9154158439
4422.0,4.62,15.84,0.58,0.957,0.001,63.1313131313,0.618775886267
4446.0,6.39,16.73,0.65,0.375,0.005,59.7728631201,2.50747970481
4454.0,9.12,41.45,1.01,1.025,0.024,24.1254523522,7.20762267443
4473.0,9.5,51.66,1.07,1.299,0.007,19.3573364305,8.06577200919
4552.0,5.99,17.19,0.83,1.0,0.005,58.1733566027,2.16637938344
4569.0,11.77,76.32,2.88,1.558,0.003,13.1027253669,11.1831918085
4617.0,7.86,21.38,0.71,0.557,0.011,46.7726847521,4.51003850436
4637.0,6.9,17.31,0.84,0.41,0.005,57.7700751011,3.09148533938
4747.0,7.34,24.76,0.86,0.547,0.011,40.3877221325,4.30875320174
4772.0,6.91,22.23,0.64,0.65,0.004,44.9842555106,3.64469731349
4849.0,8.16,46.61,1.61,1.008,0.012,21.4546234714,6.50239551466
4855.0,7.91,31.35,1.28,0.799,0.001,31.8979266348,5.39118772583
4868.0,6.88,22.39,0.87,0.448,0.004,44.662795891,3.6302704679
4878.0,6.83,16.55,0.78,0.498,0.001,60.4229607251,2.92398999056
4882.0,7.7,20.35,0.78,0.591,0.001,49.14004914,4.24282206781
4890.0,5.39,13.86,0.61,0.9,0.0,72.1500721501,1.09881615138
4907.0,7.67,38.73,0.78,0.756,0.005,25.8197779499,5.61023748493
4966.0,8.44,22.56,0.73,0.6,0.0,44.3262411348,5.20669547656
4979.0,6.06,17.66,0.72,0.271,0.005,56.6251415629,2.29495349621
5016.0,6.84,16.06,0.71,0.528,0.005,62.2665006227,2.86872770471
5027.0,9.78,38.99,1.88,1.194,0.006,25.6476019492,7.73476617594
5031.0,9.15,25.48,1.14,0.801,0.002,39.2464678179,6.18099711832
5034.0,6.2,23.82,0.87,0.443,0.006,41.9815281276,3.08470878573
5041.0,10.02,34.39,1.68,1.28,0.015,29.0782204129,7.70216087911
5054.0,7.72,24.8,0.89,0.613,0.011,40.3225806452,4.69225840413
5081.0,5.64,18.28,0.79,0.42,0.005,54.704595186,1.94988095699
5099.0,7.18,18.21,0.82,0.421,0.006,54.914881933,3.48154972897
5141.0,6.35,21.87,1.03,0.383,0.009,45.7247370828,3.04924391519
5144.0,7.26,22.69,1.03,0.484,0.008,44.0722785368,4.03917247942
5176.0,8.15,20.84,1.0,0.656,0.015,47.9846449136,4.74448857314
5186.0,6.52,14.39,0.66,0.214,0.005,69.4927032662,2.31030396968
5207.0,7.22,17.23,0.8,0.448,0.015,58.0383052815,3.40142638724
5224.0,8.84,33.98,1.07,0.925,0.008,29.429075927,6.49611687267
5247.0,9.0,66.46,1.27,1.289,0.007,15.0466445983,8.11280168471
5268.0,5.36,11.68,0.5,0.884,0.003,85.6164383562,0.697214213882
5276.0,7.24,19.97,0.85,0.541,0.015,50.075112669,3.74189032435
5280.0,7.01,29.65,0.71,0.567,0.004,33.7268128162,4.3701234885
5286.0,8.41,48.2,1.06,1.122,0.012,20.7468879668,6.82523519119
5296.0,5.71,20.97,0.66,0.446,0.005,47.6871721507,2.31799215233
5300.0,5.21,16.48,0.61,0.159,0.007,60.6796116505,1.29478603681
5310.0,5.56,20.23,0.81,0.121,0.004,49.4315373208,2.08997941385
5313.0,7.78,26.79,0.9,0.621,0.004,37.3273609556,4.91986356804
5315.0,6.44,21.53,0.83,0.847,0.018,46.4468183929,3.10522014912
5317.0,5.04,16.61,0.73,0.109,0.021,60.2046959663,1.14184816226
5319.0,6.23,23.87,0.78,0.398,0.01,41.8935902807,3.11926209503
5335.0,7.61,30.84,0.86,0.71,0.013,32.4254215305,5.05557184689
5336.0,5.17,132.4,0.6,0.704,0.004,7.55287009063,5.77943992552
5346.0,5.51,27.84,0.88,0.334,0.007,35.9195402299,2.73334615469
5364.0,3.46,27.73,0.71,1.161,0.005,36.0620266859,0.674749347889
5369.0,10.56,35.99,1.69,1.256,0.008,27.7854959711,8.34090923326
5372.0,4.24,10.43,0.5,1.213,0.012,95.8772770853,-0.668578457867
5373.0,8.63,28.33,1.3,0.837,0.004,35.2982703848,5.8912328726
5447.0,2.07,16.36,0.76,1.576,0.01,61.1246943765,-1.86108350332
5462.0,8.8,20.21,0.84,0.672,0.017,49.4804552202,5.32783156758
5493.0,5.67,18.98,0.71,0.603,0.003,52.6870389884,2.06148104046
5521.0,7.66,37.34,0.91,0.73,0.01,26.7809319764,5.52087156807
5529.0,8.06,27.87,0.69,0.849,0.012,35.8808754934,5.28568484357
5531.0,6.55,17.41,0.67,0.553,0.005,57.4382538771,2.75399385559
5534.0,7.23,25.25,0.9,0.568,0.005,39.603960396,4.24130691227
5542.0,4.34,23.73,0.68,0.17,0.001,42.1407501054,1.21648869109
5578.0,7.48,24.65,0.91,0.589,0.01,40.5679513185,4.43908461807
5586.0,4.51,20.11,0.87,1.092,0.004,49.7265042268,1.02706035298
5623.0,7.17,16.15,0.6,0.587,0.006,61.919504644,3.21086263334
5626.0,5.6,11.98,0.52,0.008,0.002,83.4724540902,0.992284090266
5631.0,6.89,29.64,0.81,0.494,0.008,33.7381916329,4.24939099654
5644.0,7.74,22.01,0.96,0.687,0.009,45.4338936847,4.45310021277
5643.0,12.1,269.05,7.57,1.85,0.02,3.71678126742,14.2491649819
5646.0,6.55,19.17,0.92,0.454,0.006,52.1648408972,2.96311056439
5647.0,8.71,31.12,1.52,0.931,0.001,32.1336760925,6.17519794159
5663.0,9.55,45.4,1.55,1.267,0.002,22.0264317181,7.83527926429
5684.0,7.24,22.36,0.79,0.77,0.015,44.7227191413,3.98735899607
5709.0,7.26,18.95,0.83,0.424,0.006,52.7704485488,3.64804607152
5745.0,8.47,23.55,1.01,0.446,0.002,42.4628450106,5.32995455732
5763.0,9.82,32.62,1.38,1.22,0.015,30.6560392397,7.38741978352
5784.0,7.18,23.31,0.86,0.546,0.015,42.9000429,4.0177113676
5799.0,5.14,41.01,0.89,0.448,0.016,24.384296513,3.20444884644
5806.0,7.5,25.96,0.77,0.575,0.007,38.5208012327,4.57152344064
5833.0,5.7,22.79,0.8,0.428,0.004,43.8788942519,2.4887216259
5862.0,4.97,66.43,0.64,0.571,0.007,15.053439711,4.08182126221
5895.0,8.25,20.84,0.88,0.646,0.012,47.9846449136,4.84448857314
5913.0,7.32,16.95,0.78,0.417,0.006,58.9970501475,3.4658485127
5938.0,7.55,37.71,1.14,0.753,0.01,26.518164943,5.43228266203
5943.0,6.91,16.79,0.57,0.378,0.012,59.5592614652,3.03525348069
